Description,Atlanta,San Francisco,St. Louis,Kansas City,New York,Boston,Philadelphia,Chicago,Cleveland,Dallas,Richmond,Minneapolis
"Ag Land, (Excl Cropland & Pastureland & Woodland) - Acres",2922051.0,4575026.0,2453180.0,4100491.0,607489.0,328804.0,344613.0,3102107.0,986845.0,2584367.0,1535344.0,4632950.0
"Ag Land, (Excl Cropland & Pastureland & Woodland) - Cuerdas",,,,,26554.0,,,,,,,
"Ag Land, Cropland, Harvested - Number Of Operations",117325.0,130184.0,136041.0,170335.0,33791.0,20611.0,32776.0,196756.0,90853.0,105864.0,96872.0,119004.0
"Ag Land, Cropland, (Excl Harvested & Pastured), All Crops Failed - Acres",261842.0,377364.0,286701.0,1800999.0,162611.0,18468.0,54528.0,195248.0,95704.0,2346172.0,156060.0,3165150.0
"Ag Land, Cropland, (Excl Harvested & Pastured), Idle - Acres",1704380.0,4173780.0,2597794.0,8549370.0,318942.0,160470.0,302525.0,3442461.0,831139.0,5272000.0,1043787.0,6962173.0
"Ag Land, Cropland - Number Of Operations",138722.0,148008.0,161700.0,203538.0,39897.0,22942.0,36771.0,234133.0,102279.0,138977.0,110422.0,145961.0
"Ag Land, Cropland, (Excl Harvested & Pastured) - Number Of Operations",38928.0,42730.0,49226.0,75781.0,11634.0,6998.0,11633.0,88301.0,31270.0,45911.0,31175.0,65051.0
"Ag Land, Cropland, (Excl Harvested & Pastured), Cultivated Summer Fallow - Acres",565234.0,2954140.0,216595.0,7398563.0,101767.0,22221.0,50026.0,108561.0,127089.0,1287807.0,168976.0,3624974.0
"Ag Land, Cropland, (Excl Harvested & Pastured), All Crops Failed - Number Of Operations",6274.0,8635.0,4953.0,12250.0,4531.0,1372.0,2113.0,8471.0,4385.0,10576.0,5118.0,11918.0
"Ag Land, Cropland, (Excl Harvested & Pastured), Cultivated Summer Fallow - Number Of Operations",8694.0,12330.0,6455.0,20915.0,3316.0,1753.0,2348.0,5590.0,5525.0,11332.0,5924.0,9923.0
"Ag Land, Cropland, Harvested - Acres",12692531.0,22535709.0,33600046.0,62008928.0,3742285.0,1137781.0,3591057.0,63542526.0,12380419.0,19493039.0,10600534.0,72649796.0
"Ag Land, Cropland, Pastured Only - Number Of Operations",14606.0,11326.0,14196.0,18586.0,7346.0,2392.0,3910.0,17062.0,10058.0,19611.0,10416.0,11196.0
"Ag Land, Cropland, Harvested, Irrigated - Acres",2791224.0,15555351.0,5219015.0,13884158.0,51686.0,49632.0,92440.0,1560024.0,39641.0,4369040.0,444186.0,2558267.0
"Ag Land, Cropland, Harvested, Irrigated - Number Of Operations",20528.0,101235.0,11377.0,48874.0,4045.0,5357.0,4735.0,12679.0,4092.0,18517.0,9254.0,14633.0
"Ag Land, Cropland, Pastured Only - Acres",896345.0,1246925.0,839891.0,3022314.0,151343.0,53233.0,116113.0,587971.0,342055.0,3104493.0,392340.0,1556188.0
"Ag Land, Cropland - Acres",16375264.0,31716266.0,38055652.0,84626197.0,4496231.0,1393381.0,4118875.0,68079010.0,13783781.0,32745787.0,12432073.0,88604460.0
"Ag Land, Cropland, (Excl Harvested & Pastured) - Acres",2518790.0,6645131.0,2995234.0,13720451.0,584874.0,201626.0,406884.0,3917572.0,1050714.0,7710947.0,1368122.0,11499036.0
"Ag Land, Cropland, (Excl Harvested & Pastured), Idle - Number Of Operations",28053.0,26876.0,40940.0,52280.0,10353.0,4924.0,8649.0,78359.0,24271.0,29274.0,23789.0,49573.0
"Ag Land, Cropland - Area, Measured In Pct Of Ag Land",,,,,77.8,,,,,,,
"Ag Land, Cropland, Pastured Only - Area, Measured In Pct Of Farm Operations",,,,,36.4,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), Cover Crops - Number Of Operations",,,,,274.0,,,,,,,
"Ag Land, Cropland, Harvested - Cuerdas",,,,,81674.0,,,,,,,
"Ag Land, Cropland, Harvested - Area, Measured In Pct Of Farm Operations",,,,,59.4,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), Idle - Area, Measured In Pct Of Farm Operations",,,,,37.6,,,,,,,
"Ag Land, Cropland - Cuerdas",,,,,379374.0,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), Idle - Area, Measured In Pct Of Ag Land",,,,,14.1,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), Cover Crops - Area, Measured In Pct Of Farm Operations",,,,,3.3,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), Cover Crops - Area, Measured In Pct Of Ag Land",,,,,1.4,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), All Crops Failed - Area, Measured In Pct Of Ag Land",,,,,2.3,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), Idle - Cuerdas",,,,,68909.0,,,,,,,
"Ag Land, Cropland, Pastured Only - Area, Measured In Pct Of Ag Land",,,,,43.2,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), All Crops Failed - Area, Measured In Pct Of Farm Operations",,,,,15.4,,,,,,,
"Ag Land, Cropland, Pastured Only - Cuerdas",,,,,210932.0,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), Cover Crops - Cuerdas",,,,,6856.0,,,,,,,
"Ag Land, Cropland - Area, Measured In Pct Of Farm Operations",,,,,94.2,,,,,,,
"Ag Land, Cropland, (Excl Harvested & Pastured), All Crops Failed - Cuerdas",,,,,11003.0,,,,,,,
"Ag Land, Cropland, Harvested - Area, Measured In Pct Of Ag Land",,,,,16.7,,,,,,,
"Ag Land, Pastureland, (Excl Cropland & Woodland) - Acres",11225121.0,62974450.0,10655250.0,116388717.0,623791.0,285273.0,457067.0,3454733.0,2661229.0,98742690.0,4677659.0,71759589.0
"Ag Land, Pastureland, (Excl Cropland & Woodland) - Cuerdas",,,,,50274.0,,,,,,,
"Ag Land, Woodland, Pastured - Acres",2624476.0,3314370.0,2494018.0,4680510.0,144233.0,87868.0,74559.0,847058.0,581631.0,5396425.0,1140821.0,2268790.0
"Ag Land, Woodland - Acres",13159705.0,5579879.0,10286345.0,8094496.0,1530877.0,1788288.0,1106838.0,4614481.0,3074523.0,8364547.0,7738170.0,5152138.0
"Ag Land, Woodland, (Excl Pastured) - Cuerdas",,,,,31574.0,,,,,,,
"Ag Land, Incl Buildings - Asset Value, Measured In $",175423156000.0,400227759000.0,234192971000.0,391529247000.0,31223549080.0,20336613000.0,47101257000.0,539857826000.0,111439873000.0,264494756000.0,116969851000.0,348673757000.0
"Ag Land, Incl Buildings - Asset Value, Measured In $ / Acre",4468.565022421525,6589.581967213115,3643.1065088757396,2600.964114832536,18089.041666666668,12145.045454545454,8862.983333333334,6508.427728613569,4899.08875739645,2340.8518518518517,5781.287974683544,3006.174917491749
"Ag Land, Incl Buildings - Asset Value, Measured In $ / Operation",849598.0336322869,1778600.2786885246,1291770.5591715977,1695837.7344497608,724143.4861111111,642312.6363636364,934490.0833333334,2007149.3333333333,811633.2958579882,1798989.5084175083,857488.4588607595,2161146.389438944
"Land Area, Incl Non-Ag - Acres",155900651.0,651452283.0,114656275.0,320441677.0,32822579.0,39722920.0,23468263.0,121119250.0,47044199.0,225669864.0,96497136.0,261742693.0
